"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.648546711E2,6.498063850E1,2.552471832E1,1.600314847E1,2.420000076E0,1.683000031E2,3.790092468E0,2.500000000E0
1.658542519E2,6.498062196E1,2.552472780E1,1.688191608E1,1.960000038E0,1.693000031E2,3.790092468E0,2.500000000E0
1.668546710E2,6.498060777E1,2.552473662E1,1.761060050E1,1.820000052E0,1.681000061E2,3.790092468E0,2.500000000E0
1.678546708E2,6.498059279E1,2.552474698E1,1.805022149E1,1.889999986E0,1.655000000E2,3.790092468E0,2.500000000E0
1.688546706E2,6.498057836E1,2.552476360E1,1.847238610E1,1.879999995E0,1.571999969E2,3.790092468E0,2.500000000E0
1.698477211E2,6.498056565E1,2.552477794E1,1.753761902E1,1.759999990E0,1.593000031E2,3.790092468E0,2.500000000E0
1.708526102E2,6.498055270E1,2.552479237E1,1.727954848E1,1.779999971E0,1.600000000E2,3.790092468E0,2.500000000E0
1.718596806E2,6.498053979E1,2.552480888E1,1.639525699E1,1.720000029E0,1.565000000E2,3.790092468E0,2.500000000E0
1.728479234E2,6.498052852E1,2.552482316E1,1.750358207E1,1.629999995E0,1.555000000E2,3.790092468E0,2.500000000E0
1.738546714E2,6.498052074E1,2.552483954E1,1.653128266E1,1.490000010E0,1.460000000E2,3.790092468E0,2.500000000E0
1.748471083E2,6.498051514E1,2.552486290E1,1.643203122E1,1.399999976E0,1.361000061E2,3.790092468E0,2.500000000E0
1.758531505E2,6.498051257E1,2.552488791E1,1.637044106E1,1.250000000E0,1.233000031E2,3.790092468E0,2.500000000E0
1.768533384E2,6.498050987E1,2.552491462E1,1.620203903E1,1.250000000E0,1.190999985E2,3.790092468E0,2.500000000E0
1.778537673E2,6.498050421E1,2.552494178E1,1.608203507E1,1.269999981E0,1.200000000E2,3.790092468E0,2.500000000E0
1.788546712E2,6.498049864E1,2.552496935E1,1.463061025E1,1.220000029E0,1.215000000E2,3.790092468E0,2.500000000E0
1.798546708E2,6.498048988E1,2.552499928E1,1.446555912E1,1.710000038E0,1.259000015E2,3.790092468E0,2.500000000E0
1.808546703E2,6.498048073E1,2.552502862E1,1.449301258E1,1.570000052E0,1.270000000E2,3.790092468E0,2.500000000E0
1.818546710E2,6.498047319E1,2.552505655E1,1.430000874E1,1.370000005E0,1.250999985E2,3.790092468E0,2.500000000E0
1.828546714E2,6.498046858E1,2.552508718E1,1.367884563E1,1.429999948E0,1.130999985E2,3.790092468E0,2.500000000E0
1.838529305E2,6.498046483E1,2.552511809E1,1.321979266E1,1.500000000E0,1.138000031E2,3.790092468E0,2.500000000E0
1.848546700E2,6.498046036E1,2.552514993E1,1.199175696E1,1.419999957E0,1.125999985E2,3.790092468E0,2.500000000E0
1.858524191E2,6.498045511E1,2.552518529E1,1.138267759E1,1.539999962E0,1.160000000E2,3.790092468E0,2.500000000E0
1.868546708E2,6.498044900E1,2.552521952E1,1.119144426E1,1.509999990E0,1.198000031E2,3.790092468E0,2.634453058E0
1.878525118E2,6.498044356E1,2.552525161E1,1.082021916E1,1.419999957E0,1.124000015E2,3.790092468E0,2.521855831E0
1.888534162E2,6.498044056E1,2.552528303E1,1.119240460E1,1.389999986E0,1.035999985E2,3.790092468E0,2.692081213E0
1.898520036E2,6.498043596E1,2.552531745E1,1.103504715E1,1.570000052E0,1.075999985E2,3.790092468E0,2.718269825E0
1.908547760E2,6.498043013E1,2.552534967E1,1.122644374E1,1.509999990E0,1.110000000E2,3.790092468E0,2.888898134E0
1.918503899E2,6.498042294E1,2.552537772E1,1.128270778E1,1.460000038E0,1.150999985E2,3.790092468E0,3.020876408E0
1.928546710E2,6.498041466E1,2.552540482E1,1.134299926E1,1.480000019E0,1.195000000E2,3.790092468E0,2.836592436E0
1.938546707E2,6.498040797E1,2.552543387E1,1.074655367E1,1.460000038E0,1.155000000E2,3.790092468E0,2.684732676E0
1.948526500E2,6.498040316E1,2.552546433E1,1.061672341E1,1.419999957E0,1.123000031E2,3.790092468E0,2.618237257E0
1.958483236E2,6.498039690E1,2.552549748E1,1.016822689E1,1.509999990E0,1.130999985E2,3.790092468E0,2.503260374E0
1.968546707E2,6.498038819E1,2.552552630E1,1.042199919E1,1.500000000E0,1.215999985E2,3.790092468E0,2.508393764E0
1.978530545E2,6.498037966E1,2.552555246E1,1.084044486E1,1.429999948E0,1.275000000E2,3.790092468E0,2.748374224E0
1.988548526E2,6.498037059E1,2.552557907E1,1.124167805E1,1.440000057E0,1.273000031E2,3.790092468E0,3.168829679E0
1.998548300E2,6.498036325E1,2.552560981E1,1.084390107E1,1.440000057E0,1.131999969E2,3.790092468E0,3.248748302E0
2.008514632E2,6.498035827E1,2.552563954E1,9.837544868E0,1.399999976E0,1.109000015E2,3.790092468E0,3.015300751E0
2.018546712E2,6.498034996E1,2.552567409E1,1.059296473E1,1.620000005E0,1.201999969E2,3.790092468E0,2.778525829E0
2.028546716E2,6.498034204E1,2.552570484E1,1.087847578E1,1.460000038E0,1.190000000E2,3.790092468E0,2.573831320E0
2.038546714E2,6.498033336E1,2.552573398E1,1.147776808E1,1.519999981E0,1.205000000E2,3.790092468E0,2.516807795E0
2.048546710E2,6.498032448E1,2.552576202E1,1.158285868E1,1.539999962E0,1.236999969E2,3.790092468E0,2.500000000E0
2.058546710E2,6.498031646E1,2.552578921E1,1.206880957E1,1.460000038E0,1.233000031E2,3.790092468E0,2.500000000E0
2.068546916E2,6.498030723E1,2.552582161E1,1.140314732E1,1.700000048E0,1.219000015E2,3.790092468E0,2.500000000E0
2.078484861E2,6.498029960E1,2.552585107E1,1.133660803E1,1.529999971E0,1.235999985E2,3.790092468E0,2.558000565E0
2.088550861E2,6.498029102E1,2.552587889E1,1.090214815E1,1.679999948E0,1.240000000E2,3.790092468E0,2.602735281E0
2.098517366E2,6.498028366E1,2.552590844E1,1.070371213E1,1.620000005E0,1.203000031E2,3.790092468E0,2.514628172E0
2.108546706E2,6.498027528E1,2.552593438E1,9.965175542E0,1.629999995E0,1.298000031E2,3.790092468E0,2.526872635E0
2.118528214E2,6.498026396E1,2.552596288E1,9.778881985E0,1.720000029E0,1.313000031E2,3.790092468E0,2.500000000E0
2.128546714E2,6.498025403E1,2.552599209E1,9.694274192E0,1.590000033E0,1.298999939E2,3.790092468E0,2.662014961E0
2.138546706E2,6.498024083E1,2.552601940E1,1.037327446E1,1.679999948E0,1.323000031E2,3.790092468E0,2.500000000E0
2.148546702E2,6.498022828E1,2.552604417E1,1.058999539E1,1.620000005E0,1.360000000E2,3.790092468E0,2.500000000E0
2.158498072E2,6.498021898E1,2.552606916E1,9.590715891E0,1.610000014E0,1.298000031E2,3.790092468E0,2.500000000E0
2.168546712E2,6.498020910E1,2.552609567E1,9.307194927E0,1.629999995E0,1.336000061E2,3.790092468E0,2.500000000E0
2.178546704E2,6.498019549E1,2.552612119E1,1.031865355E1,1.720000029E0,1.373999939E2,3.790092468E0,2.500000000E0
2.188531843E2,6.498018237E1,2.552614827E1,1.051828380E1,1.700000048E0,1.336999969E2,3.790092468E0,2.500000000E0
2.198511577E2,6.498017104E1,2.552617839E1,1.001887967E1,1.679999948E0,1.305000000E2,3.790092468E0,2.500000000E0
2.208546707E2,6.498016292E1,2.552620600E1,1.103492074E1,1.580000043E0,1.291999969E2,3.790092468E0,2.500000000E0
2.218538390E2,6.498015488E1,2.552623066E1,1.018481236E1,1.549999952E0,1.293999939E2,3.790092468E0,2.500000000E0
2.228546707E2,6.498014399E1,2.552625143E1,1.080680880E1,1.309999943E0,1.355000000E2,3.790092468E0,2.500000000E0
2.238532717E2,6.498013425E1,2.552627221E1,9.926670072E0,1.330000043E0,1.313999939E2,3.790092468E0,2.500000000E0
2.248490240E2,6.498012599E1,2.552629457E1,9.728966587E0,1.309999943E0,1.313000031E2,3.790092468E0,2.500000000E0
2.258546712E2,6.498011367E1,2.552631845E1,1.054743345E1,1.590000033E0,1.380000000E2,3.790092468E0,2.500000000E0
2.268522730E2,6.498010090E1,2.552634314E1,1.087523818E1,1.580000043E0,1.346000061E2,3.790092468E0,2.500000000E0
2.278546713E2,6.498009015E1,2.552636758E1,1.066331092E1,1.509999990E0,1.320000000E2,3.790092468E0,2.500000000E0
2.288474914E2,6.498007856E1,2.552639625E1,1.113808886E1,1.700000048E0,1.338999939E2,3.790092468E0,2.500000000E0
2.298546704E2,6.498006781E1,2.552642396E1,1.140687406E1,1.570000052E0,1.341000061E2,3.790092468E0,2.500000000E0
2.308492363E2,6.498005940E1,2.552645346E1,1.172943316E1,1.529999971E0,1.286000061E2,3.790092468E0,2.500000000E0
2.318517802E2,6.498005233E1,2.552648380E1,1.140093138E1,1.500000000E0,1.256999969E2,3.790092468E0,2.500000000E0
2.328523267E2,6.498004664E1,2.552651454E1,1.252677653E1,1.539999962E0,1.190000000E2,3.790092468E0,2.500000000E0
2.338482381E2,6.498004008E1,2.552654520E1,1.200833377E1,1.559999943E0,1.228000031E2,3.790092468E0,2.500000000E0
2.348491873E2,6.498003114E1,2.552657361E1,1.206404682E1,1.590000033E0,1.270000000E2,3.790092468E0,2.500000000E0
2.358496552E2,6.498002072E1,2.552660154E1,1.194995876E1,1.549999952E0,1.308000031E2,3.790092468E0,2.500000000E0
2.368546706E2,6.498001117E1,2.552663153E1,1.204168178E1,1.610000014E0,1.228000031E2,3.790092468E0,2.500000000E0
2.378546704E2,6.498000462E1,2.552666329E1,1.199992345E1,1.590000033E0,1.154000015E2,3.790092468E0,2.521659851E0
2.388536609E2,6.497999740E1,2.552669594E1,1.203543490E1,1.590000033E0,1.205000000E2,3.790092468E0,2.658414364E0
2.398542949E2,6.497999334E1,2.552672989E1,1.115700867E1,1.519999981E0,1.161999969E2,3.790092468E0,2.596028566E0
2.408546705E2,6.497998852E1,2.552676419E1,1.081257827E1,1.610000014E0,1.156999969E2,3.790092468E0,2.616262674E0
2.418525473E2,6.497998420E1,2.552679276E1,1.107990447E1,1.320000052E0,1.200000000E2,3.790092468E0,2.707695007E0
2.428546709E2,6.497997799E1,2.552682416E1,1.095825149E1,1.580000043E0,1.188000031E2,3.790092468E0,2.774780035E0
2.438549015E2,6.497997244E1,2.552685730E1,1.107311012E1,1.570000052E0,1.190000000E2,3.790092468E0,2.950854063E0
2.448546713E2,6.497996364E1,2.552688815E1,1.206052463E1,1.679999948E0,1.275999985E2,3.790092468E0,2.856171370E0
2.458532328E2,6.497995630E1,2.552691935E1,1.203640481E1,1.629999995E0,1.200999985E2,3.790092468E0,2.864682198E0
2.468491176E2,6.497995481E1,2.552695296E1,1.067220220E1,1.529999971E0,9.959999847E1,3.790092468E0,2.734086037E0
2.478546706E2,6.497995756E1,2.552699004E1,9.896870243E0,1.509999990E0,8.559999847E1,3.790092468E0,2.841188669E0
2.488524496E2,6.497995949E1,2.552702595E1,9.306107997E0,1.500000000E0,8.609999847E1,3.790092468E0,3.024448156E0
2.498546705E2,6.497995634E1,2.552706123E1,9.142831360E0,1.570000052E0,1.019000015E2,3.790092468E0,3.230846167E0
2.508510566E2,6.497995035E1,2.552709654E1,8.938658533E0,1.570000052E0,1.085999985E2,3.817756653E0,3.616565704E0
2.518546712E2,6.497994797E1,2.552712460E1,8.880730246E0,1.110000014E0,9.759999847E1,3.837515116E0,3.767462015E0
2.528546711E2,6.497994514E1,2.552715314E1,9.031907924E0,1.240000010E0,1.018000031E2,3.872437239E0,3.808881283E0
2.538529902E2,6.497994299E1,2.552718716E1,8.758830134E0,1.419999957E0,9.390000153E1,3.987431288E0,4.088178158E0
2.548527700E2,6.497993850E1,2.552722407E1,8.870149207E0,1.620000005E0,1.020999985E2,3.890121698E0,4.047358036E0
2.558513313E2,6.497993584E1,2.552725794E1,8.636865887E0,1.409999967E0,9.659999847E1,3.790092468E0,3.910959005E0
2.568546706E2,6.497993459E1,2.552728884E1,8.724995400E0,1.360000014E0,9.419999695E1,3.790092468E0,3.842543840E0
2.578546709E2,6.497992619E1,2.552732231E1,9.839668238E0,1.490000010E0,1.080999985E2,3.790092468E0,3.934015512E0
2.588546705E2,6.497991765E1,2.552735855E1,1.081518042E1,1.590000033E0,1.071999969E2,3.790092468E0,3.480770350E0
2.598548880E2,6.497991116E1,2.552739512E1,1.046409534E1,1.610000014E0,1.010999985E2,3.790092468E0,2.886395693E0
2.608530473E2,6.497990879E1,2.552743134E1,1.021079245E1,1.500000000E0,8.769999695E1,3.790092468E0,2.819249868E0
2.618546710E2,6.497990585E1,2.552746430E1,9.702240434E0,1.480000019E0,1.009000015E2,3.790092468E0,3.079522610E0
2.628491177E2,6.497990052E1,2.552749338E1,9.186240429E0,1.419999957E0,1.096999969E2,3.790092468E0,2.897050142E0
2.638482741E2,6.497989198E1,2.552752136E1,1.188331133E1,1.440000057E0,1.069000015E2,3.790092468E0,2.500000000E0
2.648546711E2,6.497988384E1,2.552755445E1,1.161285262E1,1.490000010E0,1.100999985E2,3.790092468E0,2.500000000E0
2.658533381E2,6.497987678E1,2.552758774E1,1.158580309E1,1.490000010E0,1.115000000E2,3.790092468E0,2.742590189E0
2.668490688E2,6.497986972E1,2.552761895E1,1.137808977E1,1.460000038E0,1.119000015E2,3.790092468E0,2.508549452E0
2.678546712E2,6.497985831E1,2.552765444E1,1.061531814E1,1.659999967E0,1.159000015E2,3.790092468E0,2.500000000E0
2.688546707E2,6.497984916E1,2.552768830E1,1.076130127E1,1.600000024E0,1.156999969E2,3.790092468E0,2.588627577E0
2.698524115E2,6.497984014E1,2.552772332E1,1.088103924E1,1.710000038E0,1.131999969E2,3.790092468E0,2.500000000E0
2.708536706E2,6.497983073E1,2.552775839E1,1.151872118E1,1.659999967E0,1.155000000E2,3.790092468E0,2.500000000E0
2.718537876E2,6.497982167E1,2.552779184E1,1.380294907E1,1.629999995E0,1.191999969E2,3.790092468E0,2.500000000E0
2.728546703E2,6.497981371E1,2.552782682E1,1.380580571E1,1.649999976E0,1.144000015E2,3.790092468E0,2.500000000E0
2.738546713E2,6.497980581E1,2.552786367E1,1.390045903E1,1.639999986E0,1.178000031E2,3.790092468E0,2.500000000E0
2.748514441E2,6.497979750E1,2.552790046E1,1.494756559E1,1.710000038E0,1.110000000E2,3.790092468E0,2.500000000E0
2.758546690E2,6.497979035E1,2.552794023E1,1.501389891E1,1.669999957E0,1.116999969E2,3.790092468E0,2.500000000E0
2.768546712E2,6.497978398E1,2.552798021E1,1.425284034E1,1.730000019E0,1.080000000E2,3.790092468E0,2.500000000E0
2.778546707E2,6.497977818E1,2.552801567E1,1.400484442E1,1.629999995E0,1.100000000E2,3.790092468E0,2.500000000E0
2.788513755E2,6.497977224E1,2.552804878E1,1.487122857E1,1.610000014E0,1.118000031E2,3.790092468E0,2.500000000E0
2.798508170E2,6.497976809E1,2.552808212E1,1.613141317E1,1.570000052E0,1.016999969E2,3.790092468E0,2.500000000E0
2.808526539E2,6.497976557E1,2.552811748E1,1.629913076E1,1.590000033E0,1.003000031E2,3.790092468E0,2.500000000E0
2.818517168E2,6.497976279E1,2.552815337E1,1.698521962E1,1.590000033E0,1.016999969E2,3.790092468E0,2.500000000E0
2.828530051E2,6.497975846E1,2.552818632E1,1.740354619E1,1.549999952E0,1.034000015E2,3.790092468E0,2.500000000E0
2.838546704E2,6.497975321E1,2.552822064E1,1.727328775E1,1.590000033E0,1.069000015E2,3.790092468E0,2.500000000E0
2.848548907E2,6.497974985E1,2.552825681E1,1.758071393E1,1.600000024E0,1.038000031E2,3.790092468E0,2.500000000E0
2.858546704E2,6.497974788E1,2.552829454E1,1.686616852E1,1.659999967E0,9.640000153E1,3.790092468E0,2.500000000E0
2.868473497E2,6.497974968E1,2.552832966E1,1.670863380E1,1.490000010E0,8.350000000E1,3.790092468E0,2.500000000E0
2.878511705E2,6.497975518E1,2.552836388E1,1.788673495E1,1.539999962E0,6.329999924E1,3.790092468E0,2.500000000E0
2.888540849E2,6.497976138E1,2.552840012E1,1.807820318E1,1.620000005E0,6.909999847E1,3.790092468E0,2.500000000E0
2.898531511E2,6.497976408E1,2.552843499E1,1.782734657E1,1.509999990E0,7.580000305E1,3.790092468E0,2.500000000E0
2.908546706E2,6.497976760E1,2.552847514E1,1.766578445E1,1.750000000E0,7.280000305E1,3.790092468E0,2.500000000E0
2.918546704E2,6.497977179E1,2.552851534E1,1.760590752E1,1.759999990E0,6.859999847E1,3.790092468E0,2.500000000E0
2.928546704E2,6.497977741E1,2.552855190E1,1.740150115E1,1.679999948E0,6.320000076E1,3.790092468E0,2.500000000E0
2.938509846E2,6.497978396E1,2.552858855E1,1.698792814E1,1.679999948E0,6.150000000E1,3.790092468E0,2.500000000E0
2.948546701E2,6.497979035E1,2.552862163E1,1.675697265E1,1.679999948E0,6.250000000E1,3.790092468E0,2.500000000E0
2.958546710E2,6.497979861E1,2.552864554E1,1.737575156E1,1.419999957E0,4.950000000E1,3.790092468E0,2.500000000E0
2.968556828E2,6.497980823E1,2.552867056E1,1.699440950E1,1.580000043E0,5.129999924E1,3.790092468E0,2.500000000E0
2.978546701E2,6.497981570E1,2.552869984E1,1.705593599E1,1.580000043E0,5.890000153E1,3.790092468E0,2.500000000E0
2.988502193E2,6.497982498E1,2.552872760E1,1.709597998E1,1.690000057E0,5.040000153E1,3.790092468E0,2.500000000E0
2.998546713E2,6.497983492E1,2.552875373E1,1.643235048E1,1.649999976E0,5.029999924E1,3.790092468E0,2.500000000E0
3.008514358E2,6.497984178E1,2.552878389E1,1.518497735E1,1.559999943E0,5.320000076E1,3.790092468E0,2.500000000E0
3.018546708E2,6.497985065E1,2.552881749E1,1.524449040E1,1.639999986E0,5.259999847E1,3.790092468E0,2.500000000E0
3.028546710E2,6.497986491E1,2.552885545E1,1.581999908E1,2.019999981E0,4.629999924E1,3.790092468E0,2.500000000E0
3.038518383E2,6.497988034E1,2.552889415E1,1.513568209E1,2.329999924E0,3.879999924E1,3.790092468E0,2.500000000E0
3.048546701E2,6.497989365E1,2.552893046E1,1.362372673E1,2.400000095E0,4.559999847E1,3.790092468E0,2.500000000E0
3.058546712E2,6.497990647E1,2.552897220E1,1.275343280E1,2.539999962E0,4.979999924E1,3.790092468E0,2.500000000E0
3.068546701E2,6.497991974E1,2.552901729E1,1.245778483E1,2.650000095E0,5.120000076E1,3.790092468E0,2.500000000E0
3.078512457E2,6.497993563E1,2.552906155E1,1.221780347E1,2.819999933E0,4.590000153E1,3.790092468E0,2.500000000E0
3.088546714E2,6.497995309E1,2.552911161E1,1.256327201E1,3.109999895E0,5.220000076E1,3.790092468E0,2.500000000E0
3.098511051E2,6.497997006E1,2.552916568E1,1.192430354E1,3.079999924E0,5.329999924E1,3.790092468E0,2.500000000E0
3.108546713E2,6.497998586E1,2.552921964E1,1.187829054E1,3.019999981E0,5.540000153E1,3.790092468E0,2.500000000E0
3.118546713E2,6.498000229E1,2.552927067E1,1.214624335E1,2.980000019E0,4.870000076E1,3.790092468E0,2.500000000E0
3.128546709E2,6.498001994E1,2.552932113E1,1.143122618E1,2.970000029E0,5.009999847E1,3.790092468E0,2.500000000E0
3.138546710E2,6.498003445E1,2.552936887E1,1.063997355E1,2.750000000E0,5.279999924E1,3.790092468E0,2.500000000E0
3.148546707E2,6.498005065E1,2.552941270E1,1.052731187E1,2.789999962E0,4.640000153E1,3.790092468E0,2.500000000E0
3.158482062E2,6.498006762E1,2.552945216E1,1.013425598E1,2.670000076E0,4.679999924E1,3.790092468E0,2.500000000E0
3.168546705E2,6.498008471E1,2.552949092E1,1.013640292E1,2.559999943E0,4.920000076E1,3.790092468E0,2.500000000E0
3.178504670E2,6.498009928E1,2.552951766E1,9.871764460E0,2.170000076E0,4.340000153E1,3.790092468E0,2.500000000E0
3.188541108E2,6.498011623E1,2.552954002E1,1.064356677E1,2.329999924E0,3.459999847E1,3.790092468E0,2.500000000E0
3.198546698E2,6.498013303E1,2.552955813E1,1.104232263E1,2.119999886E0,3.089999962E1,3.790092468E0,2.500000000E0
3.208546703E2,6.498014706E1,2.552957170E1,1.120950914E1,1.759999990E0,3.179999924E1,3.790092468E0,2.500000000E0
3.218515603E2,6.498015824E1,2.552958493E1,1.102006464E1,1.590000033E0,3.440000153E1,3.790092468E0,2.500000000E0
3.228508387E2,6.498016954E1,2.552960032E1,1.065264144E1,1.600000024E0,3.670000076E1,3.790092468E0,2.500000000E0
3.238550127E2,6.498018134E1,2.552961585E1,1.070221087E1,1.559999943E0,3.629999924E1,3.790092468E0,2.500000000E0
3.248524774E2,6.498019460E1,2.552963208E1,1.093445979E1,1.620000005E0,3.240000153E1,3.790092468E0,2.500000000E0
3.258524258E2,6.498020696E1,2.552964868E1,1.117085822E1,1.529999971E0,3.500000000E1,3.790092468E0,2.500000000E0
3.268546710E2,6.498022029E1,2.552966850E1,1.087002568E1,1.590000033E0,3.079999924E1,3.790092468E0,2.500000000E0
3.278523113E2,6.498023186E1,2.552968606E1,1.029709707E1,1.419999957E0,3.060000038E1,3.790092468E0,2.500000000E0
3.288546714E2,6.498024334E1,2.552970270E1,1.009733745E1,1.519999981E0,2.910000038E1,3.790092468E0,2.500000000E0
3.298530817E2,6.498025535E1,2.552971716E1,1.036474170E1,1.470000029E0,2.839999962E1,3.790092468E0,2.500000000E0
3.308555142E2,6.498026578E1,2.552973154E1,1.004931978E1,1.330000043E0,3.020000076E1,3.790092468E0,2.500000000E0
